Lambda0000,,Lambda0010,,Lambda0030,,Lambda0100,,Lambda0300,
X,Y,X,Y,X,Y,X,Y,X,Y
,,0.49684813310516884,2.805124922951797,0.2918865843349896,3.026798911123165,0.42625971589386225,4.423326463276,,
,,0.5062032245428119,2.8208678169213846,0.30124167577263267,3.027985293479891,0.43561480733150526,4.438745879209747,,
,,0.5155583159804549,2.836934188926813,0.3105967672102757,3.027877763693252,0.4449698987691484,4.453194861035969,,
,,0.5249134074180979,2.852353604860558,0.3199518586479187,3.0345632726592804,0.4543249902067914,4.472496013399811,,
,,0.5342684988557409,2.8684199768659884,0.32930695008556177,3.0415722596611507,0.4636800816444344,4.490179775584446,,
,,0.5436235902933839,2.883839392799734,0.3386620415232048,3.044699510232925,0.47303517308207743,4.510451362055813,,
,,0.5529786817310269,2.9018466330202104,0.3480171329608478,3.0497676290197466,0.48239026451972045,4.532987294778069,,
,,0.5623337731686701,2.9195303952048457,0.35737222439849087,3.0541887917348864,0.49174535595736346,4.552288447141911,,
,,0.5716888646063131,2.9401254597120543,0.3667273158361339,3.0628151689159644,0.5011004473950065,4.578059160222581,,
,,0.5810439560439561,2.9587796560042143,0.3760824072737769,3.069177199846152,0.5104555388326496,4.604476829374934,,
,,0.5903990474815991,2.979698198547263,0.38543749871141997,3.0794209672064357,0.5198106302702926,4.632188410670651,,
,,0.5997541389192421,3.0015871751978365,0.394792590149063,3.086753432244148,0.5291657217079356,4.662164338217258,,
,,0.6091092303568851,3.021535283633362,0.404147681586706,3.0979676337119564,0.5385208131455786,4.695051568086439,,
,,0.6184643217945283,3.0447181724273005,0.413502773024349,3.109181835179764,0.5478759045832217,4.729556188134825,,
,,0.6278194132321713,3.067254105149556,0.42285786446199203,3.1191021245042068,0.5572309960208647,4.7650312422907355,,
,,0.6371745046698143,3.0930248182302265,0.43221295589963515,3.131933716151223,0.5665860874585078,4.801476730554171,,
,,0.6465295961074573,3.118795531310896,0.44156804733727817,3.1441183517265543,0.5759411788961508,4.840833521140178,,
,,0.6558846875451003,3.144242766355724,0.4509231387749212,3.154362119086839,0.5852962703337938,4.882131179941233,,
,,0.6652397789827433,3.1716308696156013,0.4602782302125642,3.1720458812714742,0.5946513617714368,4.927957531244068,,
,,0.6745948704203865,3.1990189728754768,0.4696333216502072,3.1855244289901723,0.6040064532090799,4.971196058260171,,
,,0.6839499618580295,3.2283479443504017,0.47898841308785023,3.2015908009956,0.6133615446467229,5.018963277778054,,
,,0.6933050532956725,3.2592943060045343,0.48834350452549335,3.2166867388935056,0.622716636084366,5.068671365510985,,
,,0.7026601447333155,3.285711975156887,0.49769859596313637,3.235017457149824,0.632071727522009,5.124849013960743,,
,,0.7120152361709585,3.3169818148468586,0.5070536874007794,3.249142960940204,0.641426818959652,5.18329100866139,,
,,0.7213703276086015,3.352780347038612,0.5164087788384224,3.2687675913398877,0.650781910397295,5.245614739792135,,
,,0.7307254190462446,3.388902357266205,0.5257638702760654,3.2835400512019515,0.6601370018349381,5.307938470922879,,
,,0.7400805104838877,3.427288713744688,0.5351189617137084,3.3028412035657935,0.6694920932725811,5.372203070268672,,
,,0.7494356019215307,3.466322026294854,0.5444740531513514,3.324730180216368,0.6788471847102242,5.440672884080401,,
,,0.7587906933591737,3.5085901192034328,0.5538291445889946,3.3456487227594165,0.6873518132898996,5.51353739781313,,
,,0.7681457847968167,3.5511816901478532,0.5631842360266376,3.366890743338306,0.6958564418695751,5.588953793828608,,
,,0.7775008762344597,3.596361085379005,0.5725393274642806,3.390073632132246,0.7047863018782343,5.666777010593728,,
,,0.7868559676721028,3.6480100413269847,0.5818944189019236,3.4135799989620264,0.7132909304579098,5.7456725925946985,,
,,0.7962110591097459,3.69642421691655,0.5912495103395666,3.439027234006855,0.7213703276086015,5.824691670926386,,
,,0.8055661505473889,3.7500140410795773,0.6006046017772096,3.4670622933384134,0.7285992619013257,5.899480266773402,,
,,0.8149212419850319,3.8078090797085418,0.6099596932148528,3.493803440526608,0.7349777333360823,5.973304353019046,,
,,0.8242763334226749,3.870456288875128,0.6193147846524958,3.521191543786485,0.741356204770839,6.050114834702724,,
,,0.8336314248603179,3.941513926973589,0.6286698760901388,3.55084399329725,0.7477346762055955,6.1297210908390305,,
,,0.842986516297961,4.013865477215415,0.6380249675277818,3.5837312231664296,0.7536879162113684,6.203359443816842,,
,,0.8523416077356041,4.088804851743974,0.6473800589654248,3.615971496963927,0.7596411562171412,6.279539409933406,,
,,0.8612714677442633,4.1715772824574655,0.6567351504030678,3.649505682904789,0.7651691647939303,6.359113081285883,,
,,0.8693508648949549,4.249845172905921,0.666090241840711,3.6833633468814932,0.7706971733707194,6.439025634390194,,
,,0.8765797991876791,4.326363477694589,0.675445333278354,3.7165740547865154,0.7762251819475084,6.520886757567549,,
,,0.8829582706224358,4.404444765947645,0.684800424715997,3.7556073673366797,0.7813279590953137,6.602075004958811,,
,,0.8889115106282086,4.4821496999474615,0.69415551615364,3.7965815481018943,0.7860055048141352,6.6859961381699105,,
,,0.8948647506339814,4.56239624708603,0.703510607591283,3.8394965970821566,0.7906830505329567,6.76801953357074,,
,,0.9003927592107706,4.64188519800055,0.712865699028926,3.8837055582057847,0.7953605962517782,6.850991797876704,,
,,0.9054955363585758,4.722480402326103,0.7222207904665692,3.931472777723666,0.799612910541616,6.932782863768825,,
,,0.9101730820773973,4.8050968407926415,0.7315758819042122,3.981180865456597,0.8038652248314537,7.0131506263032435,,
,,0.914425396367235,4.882617996611656,0.7409309733418552,4.037035035870515,0.8081175391212915,7.094230040516512,,
,,0.918252479228089,4.95658578175399,0.7502860647794982,4.094183118427797,0.8119446219821455,7.179050513761324,,
,,0.9220795620889429,5.03482347696943,0.7596411562171412,4.147449464554982,0.8153464734140157,7.2546244028986475,,
,,0.9259066449497969,5.116619430579124,0.7689962476547842,4.210743629793251,0.8187483248458859,7.330198292035971,,
,,0.9293084963816672,5.201978530300649,0.7783513390924273,4.276302141282408,0.8221501762777561,7.407551310370422,,
,,0.9327103478135373,5.291785453014993,0.7877064305300704,4.350594559739283,0.8255520277096262,7.485793893303436,,
,,0.9366791744840527,5.3952258492838805,0.7966362905387296,4.42424490984205,0.8289538791414964,7.572042557623524,,
,,0.9395990969630744,5.488655874112301,0.8051409191184051,4.50242884016417,0.8323557305733666,7.663628609534995,,
,,0.942150485536977,5.5768713559843786,0.8132203162690969,4.5746872275467725,0.8357575820052369,7.764999872030667,,
,,0.9446168278250829,5.667044857516812,0.8208744819908047,4.651299485128818,0.8391594334371071,7.863702440730648,,
,,0.9467429849700019,5.744412539003986,0.8281034162835289,4.729003876048904,0.8421360534399934,7.951142078899729,,
,,0.9489541884007174,5.8329877568895485,0.8349071191472693,4.809876051037014,0.8451126734428799,8.033540851010283,,
,,0.9509952992598397,5.928503533730938,0.8417108220110097,4.896975178215069,0.8476640620167825,8.123357549159774,,
,,0.9535466878337423,6.027215877866068,0.8480892934457663,4.979250128147068,0.8513494010679752,8.222649902447081,,
,,0.9556728449786612,6.140462664828648,0.8536173020225554,5.053401691470204,0.8531920705935716,8.291421717959857,,
,,0.9577990021235799,6.254895537922645,0.8587200791703606,5.133403852730048,0.8553182277384904,8.36878939944703,,
,,0.9599251592684989,6.368735367950933,0.8638228563181659,5.211626884792764,,,,
,,0.9620513164134178,6.474569116592148,0.8685004020369874,5.2873640236970765,,,,
,,0.9633270107003692,6.572406559281438,0.8731779477558089,5.371640982747601,,,,
,,0.9641774735583367,6.649788903921335,0.8778554934746304,5.455917941798125,,,,
,,0.9654531678452879,6.73754461449357,0.8816825763354844,5.534333549933278,,,,
,,0.9663036307032554,6.821746954389123,0.8850844277673546,5.617023955859111,,,,
,,0.9675793249902068,6.909502664961357,0.8884862791992248,5.693487409594998,,,,
,,0.9690676349916499,6.9993315824047855,0.8918881306310951,5.769950863330886,,,,
,,0.9697054821351258,7.092135490611909,0.8952899820629652,5.854420398453845,,,,
,,0.9709811764220769,7.204205966878218,0.8986918334948354,5.941558627372498,,,,
,,0.9719166855658413,7.321499132296829,0.9020936849267057,6.029586420889714,,,,
,,0.9731073335669959,7.4476257067639615,0.9054955363585758,6.130957683385386,,,,
,,0.9741278889965571,7.579091623909505,0.9091100035049379,6.236774325015089,,,,
,,0.9755169783312373,7.708240437076887,0.9112361606498568,6.30613592511519,,,,
,,0.9767218007133579,7.830986503145557,0.914085211224048,6.39274676930755,,,,
,,0.9775297404284272,7.976154158967771,0.9161263220831702,6.48310307147727,,,,
,,0.9765091849988662,7.9057123732837,0.9190178958002598,6.575584553248395,,,,
,,0.9783802032863947,8.185369977114817,0.9208038678019917,6.6600726616981385,,,,
,,0.9777848792858174,8.083610629843728,0.9229300249469105,6.733882084791057,,,,
,,0.9796680470427456,8.374857849938488,0.9250561820918294,6.828151493650944,,,,
,,0.9782101107148012,8.297101245781455,0.9275225243799353,6.941275761826321,,,,
,,,,0.9293935426674639,7.03732723251388,,,,
,,,,0.9321636216905583,7.164579378513888,,,,
,,,,0.9339860421004887,7.26334246181241,,,,
,,,,0.9348365049584563,7.358219576890729,,,,
,,,,0.9371449041443681,7.452741052328387,,,,
,,,,0.9384509721048183,7.566336147355265,,,,
,,,,0.9405062573449067,7.6831420073316945,,,,
,,,,0.9418528235366884,7.784240372262789,,,,
,,,,0.9433411335381318,7.891860581677493,,,,
,,,,0.9450420592540668,7.985541835189244,,,,
,,,,0.9458925221120343,8.072116347347635,,,,
,,,,0.9467429849700019,8.165807376294534,,,,
,,,,0.9480186792569533,8.260976125188133,,,,
,,,,0.9488691421149208,8.340137599025159,,,,
,,,,0.9501448364018722,8.4219628789403,,,,
